仓库id,商品编码,商品数量,库位,最近入库时间,原料有效期,（商品名称）
00,101001,1000,1,2014/1/1,2016/12/31,鸡蛋
00,101002,100,1,2014/1/1,2016/12/31,老母鸡
00,101003,500,1,2014/1/1,2016/12/31,皮蛋
00,101004,100,1,2014/1/1,2016/12/31,老水鸭（去内脏）
00,102001,200,2,2014/1/1,2016/12/31,奥仕嘉蜗牛
00,102002,100,2,2014/1/1,2016/12/31,冻青豆
00,102003,500,2,2014/1/1,2016/12/31,鸡胸肉
00,102004,120,2,2014/1/1,2016/12/31,冷冻牛肝菌
00,102005,300,2,2014/1/1,2016/12/31,培根
00,102006,200,3,2014/1/1,2016/12/31,青虾仁
00,201001,50,3,2014/1/1,2016/12/31,玉和桂花白醋
00,201002,250,3,2014/1/1,2016/12/31,白糖
00,201003,100,3,2014/1/1,2016/12/31,宝鼎牌黑橄榄
00,201005,150,3,2014/1/1,2016/12/31,大颗冰糖
00,201006,300,4,2014/1/1,2016/12/31,东佳利土豆粉
00,202001,100,4,2014/1/1,2016/12/31,白干椒(无盐）
00,202002,600,4,2014/1/1,2016/12/31,白萝卜
00,202003,400,4,2014/1/1,2016/12/31,大青椒
00,202004,220,4,2014/1/1,2016/12/31,凤尾酸菜
00,202005,800,4,2014/1/1,2016/12/31,红萝卜
00,202006,550,4,2014/1/1,2016/12/31,红柿椒
00,111001,300,5,2014/1/1,2016/12/31,澳扒半成品
00,111002,200,5,2014/1/1,2016/12/31,白辣椒半成品
00,111003,800,5,2014/1/1,2016/12/31,白米粥半成品
00,111004,350,5,2014/1/1,2016/12/31,白吐司半成品
00,111005,1100,5,2014/1/1,2016/12/31,包菜半成品
00,111006,230,5,2014/1/1,2016/12/31,刨盐鱼半成品
00,111007,330,5,2014/1/1,2016/12/31,煲仔汁半成品
00,111334,160,5,2014/1/1,2016/12/31,德式香肠半成品
00,111284,180,5,2014/1/1,2016/12/31,肉松半成品
00,111285,140,5,2014/1/1,2016/12/31,瑞典肉丸半成品
00,111287,80,5,2014/1/1,2016/12/31,自制香辣酱半成品
00,111288,650,5,2014/1/1,2016/12/31,高汤半成品
00,111289,540,5,2014/1/1,2016/12/31,鸡鸭架骨半成品
00,111290,90,5,2014/1/1,2016/12/31,红油半成品
00,111291,700,5,2014/1/1,2016/12/31,清汤半成品
01,101001,1001,1,2014/1/1,2016/12/31,鸡蛋
01,101002,101,1,2014/1/1,2016/12/31,老母鸡
01,101003,501,1,2014/1/1,2016/12/31,皮蛋
01,101004,101,1,2014/1/1,2016/12/31,老水鸭（去内脏）
01,102001,201,2,2014/1/1,2016/12/31,奥仕嘉蜗牛
01,102002,101,2,2014/1/1,2016/12/31,冻青豆
01,102003,501,2,2014/1/1,2016/12/31,鸡胸肉
01,102004,121,2,2014/1/1,2016/12/31,冷冻牛肝菌
01,102005,301,2,2014/1/1,2016/12/31,培根
01,102006,201,3,2014/1/1,2016/12/31,青虾仁
01,201001,51,3,2014/1/1,2016/12/31,玉和桂花白醋
01,201002,251,3,2014/1/1,2016/12/31,白糖
01,201003,101,3,2014/1/1,2016/12/31,宝鼎牌黑橄榄
01,201005,151,3,2014/1/1,2016/12/31,大颗冰糖
01,201006,301,4,2014/1/1,2016/12/31,东佳利土豆粉
01,202001,101,4,2014/1/1,2016/12/31,白干椒(无盐）
01,202002,601,4,2014/1/1,2016/12/31,白萝卜
01,202003,401,4,2014/1/1,2016/12/31,大青椒
01,202004,221,4,2014/1/1,2016/12/31,凤尾酸菜
01,202005,801,4,2014/1/1,2016/12/31,红萝卜
01,202006,551,4,2014/1/1,2016/12/31,红柿椒
01,111001,301,5,2014/1/1,2016/12/31,澳扒半成品
01,111002,201,5,2014/1/1,2016/12/31,白辣椒半成品
01,111003,801,5,2014/1/1,2016/12/31,白米粥半成品
01,111004,351,5,2014/1/1,2016/12/31,白吐司半成品
01,111005,1101,5,2014/1/1,2016/12/31,包菜半成品
01,111006,231,5,2014/1/1,2016/12/31,刨盐鱼半成品
01,111007,331,5,2014/1/1,2016/12/31,煲仔汁半成品
01,111334,161,5,2014/1/1,2016/12/31,德式香肠半成品
01,111284,181,5,2014/1/1,2016/12/31,肉松半成品
01,111285,141,5,2014/1/1,2016/12/31,瑞典肉丸半成品
01,111287,81,5,2014/1/1,2016/12/31,自制香辣酱半成品
01,111288,651,5,2014/1/1,2016/12/31,高汤半成品
01,111289,541,5,2014/1/1,2016/12/31,鸡鸭架骨半成品
01,111290,91,5,2014/1/1,2016/12/31,红油半成品
01,111291,701,5,2014/1/1,2016/12/31,清汤半成品
02,101001,1002,1,2014/1/1,2016/12/31,鸡蛋
02,101002,102,1,2014/1/1,2016/12/31,老母鸡
02,101003,502,1,2014/1/1,2016/12/31,皮蛋
02,101004,102,1,2014/1/1,2016/12/31,老水鸭（去内脏）
02,102001,202,2,2014/1/1,2016/12/31,奥仕嘉蜗牛
02,102002,102,2,2014/1/1,2016/12/31,冻青豆
02,102003,502,2,2014/1/1,2016/12/31,鸡胸肉
02,102004,122,2,2014/1/1,2016/12/31,冷冻牛肝菌
02,102005,302,2,2014/1/1,2016/12/31,培根
02,102006,202,3,2014/1/1,2016/12/31,青虾仁
02,201001,52,3,2014/1/1,2016/12/31,玉和桂花白醋
02,201002,252,3,2014/1/1,2016/12/31,白糖
02,201003,102,3,2014/1/1,2016/12/31,宝鼎牌黑橄榄
02,201005,152,3,2014/1/1,2016/12/31,大颗冰糖
02,201006,302,4,2014/1/1,2016/12/31,东佳利土豆粉
02,202001,102,4,2014/1/1,2016/12/31,白干椒(无盐）
02,202002,602,4,2014/1/1,2016/12/31,白萝卜
02,202003,402,4,2014/1/1,2016/12/31,大青椒
02,202004,222,4,2014/1/1,2016/12/31,凤尾酸菜
02,202005,802,4,2014/1/1,2016/12/31,红萝卜
02,202006,552,4,2014/1/1,2016/12/31,红柿椒
02,111001,302,5,2014/1/1,2016/12/31,澳扒半成品
